from,till,country,province,locality,where,title,desc,result,link
1941-07-10,1941-09-10,,,,,Смоленское сражение,Мы обороняемся и наступаем. Ожесточённые бои на огромной территории.,"Тактическая победа Германии Стратегическая победа СССР. Важный этап срыва немецкого блицкрига. Общие потери: фашистов - 101 тыс., наших: 760 тыс.",https://ru.wikipedia.org/wiki/%D0%A1%D0%BC%D0%BE%D0%BB%D0%B5%D0%BD%D1%81%D0%BA%D0%BE%D0%B5_%D1%81%D1%80%D0%B0%D0%B6%D0%B5%D0%BD%D0%B8%D0%B5_(1941)
1941-07-10,1941-09-10,,,,,Battle of Smolensk,"We are fighing DEU on an enormous territory: 600-650 km wide, 200-250km deep.",DEU wins tactically. We win strategically. We disrupted their blitz-krieg.,https://ru.wikipedia.org/wiki/%D0%A1%D0%BC%D0%BE%D0%BB%D0%B5%D0%BD%D1%81%D0%BA%D0%BE%D0%B5_%D1%81%D1%80%D0%B0%D0%B6%D0%B5%D0%BD%D0%B8%D0%B5_(1941)
1941-07-10,1941-09-30,,,,,Leningrad Strategic Defensive,Our North-Western front and Northern Front.,"Победа Германии. Продолжительность операции — 83 суток. Ширина фронта боевых действий — 450 км. Глубина отхода советских войск — 270—300 км. Численность войск — 517000 чел. Безвозвратные потери — 214078 (41,4 %). Санитарные — 130848. Всего — 344926. Среднесуточные — 4155.",https://ru.wikipedia.org/wiki/%D0%9B%D0%B5%D0%BD%D0%B8%D0%BD%D0%B3%D1%80%D0%B0%D0%B4%D1%81%D0%BA%D0%B0%D1%8F_%D1%81%D1%82%D1%80%D0%B0%D1%82%D0%B5%D0%B3%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B0%D1%8F_%D0%BE%D0%B1%D0%BE%D1%80%D0%BE%D0%BD%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%D0%BD%D0%B0%D1%8F_%D0%BE%D0%BF%D0%B5%D1%80%D0%B0%D1%86%D0%B8%D1%8F
1941-07-10,,,,,"Mogilev Province, BLR",> 12K BLR militia,Mogilev people's volunteer corps is > 12000 men.,,http://thefireofthewar.ru/1418/index.php/1941/iyun-1941/1416-26-06-1941
1941-07-10,,,,,,РСФСР: Karelian Province: FIN are advancing north of Lake Ladoga. Our Northern Front is retreating.,,,https://ru.wikipedia.org/wiki/%D0%A5%D1%80%D0%BE%D0%BD%D0%B8%D0%BA%D0%B0_%D0%92%D0%B5%D0%BB%D0%B8%D0%BA%D0%BE%D0%B9_%D0%9E%D1%82%D0%B5%D1%87%D0%B5%D1%81%D1%82%D0%B2%D0%B5%D0%BD%D0%BD%D0%BE%D0%B9_%D0%B2%D0%BE%D0%B9%D0%BD%D1%8B_(%D0%B8%D1%8E%D0%BB%D1%8C_1941_%D0%B3%D0%BE%D0%B4%D0%B0)#10_.D0.B8.D1.8E.D0.BB.D1.8F_1941_.D0.B3.D0.BE.D0.B4.D0.B0._19-.D0.B9_.D0.B4.D0.B5.D0.BD.D1.8C_.D0.B2.D0.BE.D0.B9.D0.BD.D1.8B
1941-07-10,,,,,,DEU advancing toward Leningrad,"DEU is advancing toward Leningrad in the general direction of Novgorod (Novgorod Province, РСФСР)",,https://ru.wikipedia.org/wiki/%D0%A5%D1%80%D0%BE%D0%BD%D0%B8%D0%BA%D0%B0_%D0%92%D0%B5%D0%BB%D0%B8%D0%BA%D0%BE%D0%B9_%D0%9E%D1%82%D0%B5%D1%87%D0%B5%D1%81%D1%82%D0%B2%D0%B5%D0%BD%D0%BD%D0%BE%D0%B9_%D0%B2%D0%BE%D0%B9%D0%BD%D1%8B_(%D0%B8%D1%8E%D0%BB%D1%8C_1941_%D0%B3%D0%BE%D0%B4%D0%B0)#10_.D0.B8.D1.8E.D0.BB.D1.8F_1941_.D0.B3.D0.BE.D0.B4.D0.B0._19-.D0.B9_.D0.B4.D0.B5.D0.BD.D1.8C_.D0.B2.D0.BE.D0.B9.D0.BD.D1.8B
1941-07-10,,,,,,Battle of Smolensk begins,"DEU advance from Vitebsk Province, BLR, and from Smolensk Province, РСФСР.",,https://ru.wikipedia.org/wiki/%D0%A1%D0%BC%D0%BE%D0%BB%D0%B5%D0%BD%D1%81%D0%BA%D0%BE%D0%B5_%D1%81%D1%80%D0%B0%D0%B6%D0%B5%D0%BD%D0%B8%D0%B5_(1941)
1941-07-10,,,,,,Our South-Western front counterattacks and seize the highway obstructing deliveries of DEU.,,,https://ru.wikipedia.org/wiki/%D0%A5%D1%80%D0%BE%D0%BD%D0%B8%D0%BA%D0%B0_%D0%92%D0%B5%D0%BB%D0%B8%D0%BA%D0%BE%D0%B9_%D0%9E%D1%82%D0%B5%D1%87%D0%B5%D1%81%D1%82%D0%B2%D0%B5%D0%BD%D0%BD%D0%BE%D0%B9_%D0%B2%D0%BE%D0%B9%D0%BD%D1%8B_(%D0%B8%D1%8E%D0%BB%D1%8C_1941_%D0%B3%D0%BE%D0%B4%D0%B0)#10_.D0.B8.D1.8E.D0.BB.D1.8F_1941_.D0.B3.D0.BE.D0.B4.D0.B0._19-.D0.B9_.D0.B4.D0.B5.D0.BD.D1.8C_.D0.B2.D0.BE.D0.B9.D0.BD.D1.8B
1941-07-10,,,,,,"UKR, Zhitomir Province, south of Berdichev. We strike DEU and reach south-west of the city.",,,https://ru.wikipedia.org/wiki/%D0%A5%D1%80%D0%BE%D0%BD%D0%B8%D0%BA%D0%B0_%D0%92%D0%B5%D0%BB%D0%B8%D0%BA%D0%BE%D0%B9_%D0%9E%D1%82%D0%B5%D1%87%D0%B5%D1%81%D1%82%D0%B2%D0%B5%D0%BD%D0%BD%D0%BE%D0%B9_%D0%B2%D0%BE%D0%B9%D0%BD%D1%8B_(%D0%B8%D1%8E%D0%BB%D1%8C_1941_%D0%B3%D0%BE%D0%B4%D0%B0)#10_.D0.B8.D1.8E.D0.BB.D1.8F_1941_.D0.B3.D0.BE.D0.B4.D0.B0._19-.D0.B9_.D0.B4.D0.B5.D0.BD.D1.8C_.D0.B2.D0.BE.D0.B9.D0.BD.D1.8B
1941-07-11,1941-07-14,,,,,Germans are shooting Jews caught during round downs.,"BLR, Vitebsk Province, Vitebsk. Germans are catching Jews everywhere.",,https://ru.wikipedia.org/wiki/%D0%92%D0%B8%D1%82%D0%B5%D0%B1%D1%81%D0%BA%D0%BE%D0%B5_%D0%B3%D0%B5%D1%82%D1%82%D0%BE
1941-07-11,1944-06-26,,,,,Vitebsk Occupation,"BLR, Vitebsk Province. Germans are killing peaceful citizens, and raiding Jews. They throw the bodies into the Ilovsky pit.",,https://ru.wikipedia.org/wiki/%D0%92%D0%B8%D1%82%D0%B5%D0%B1%D1%81%D0%BA%D0%BE%D0%B5_%D0%B3%D0%B5%D1%82%D1%82%D0%BE
1941-07-11,,,,,,BLR Vitebsk Province. DEU breake through our defence between the armies of the Western Front and ceize Vitebsk.,,,https://ru.wikipedia.org/wiki/%D0%A5%D1%80%D0%BE%D0%BD%D0%B8%D0%BA%D0%B0_%D0%92%D0%B5%D0%BB%D0%B8%D0%BA%D0%BE%D0%B9_%D0%9E%D1%82%D0%B5%D1%87%D0%B5%D1%81%D1%82%D0%B2%D0%B5%D0%BD%D0%BD%D0%BE%D0%B9_%D0%B2%D0%BE%D0%B9%D0%BD%D1%8B_(%D0%B8%D1%8E%D0%BB%D1%8C_1941_%D0%B3%D0%BE%D0%B4%D0%B0)#11_.D0.B8.D1.8E.D0.BB.D1.8F_1941_.D0.B3.D0.BE.D0.B4.D0.B0._20-.D0.B9_.D0.B4.D0.B5.D0.BD.D1.8C_.D0.B2.D0.BE.D0.B9.D0.BD.D1.8B
1941-07-11,,,,,,"BLR, Mogilev Province. DEU cross river Dnieper south and north of Mogilev.",,,https://ru.wikipedia.org/wiki/%D0%A5%D1%80%D0%BE%D0%BD%D0%B8%D0%BA%D0%B0_%D0%92%D0%B5%D0%BB%D0%B8%D0%BA%D0%BE%D0%B9_%D0%9E%D1%82%D0%B5%D1%87%D0%B5%D1%81%D1%82%D0%B2%D0%B5%D0%BD%D0%BD%D0%BE%D0%B9_%D0%B2%D0%BE%D0%B9%D0%BD%D1%8B_(%D0%B8%D1%8E%D0%BB%D1%8C_1941_%D0%B3%D0%BE%D0%B4%D0%B0)#11_.D0.B8.D1.8E.D0.BB.D1.8F_1941_.D0.B3.D0.BE.D0.B4.D0.B0._20-.D0.B9_.D0.B4.D0.B5.D0.BD.D1.8C_.D0.B2.D0.BE.D0.B9.D0.BD.D1.8B
1941-07-11,,,,,,"UKR, Kiev Province. DEU come to river Irpen. South Western Front are split in two.",,,https://ru.wikipedia.org/wiki/%D0%A5%D1%80%D0%BE%D0%BD%D0%B8%D0%BA%D0%B0_%D0%92%D0%B5%D0%BB%D0%B8%D0%BA%D0%BE%D0%B9_%D0%9E%D1%82%D0%B5%D1%87%D0%B5%D1%81%D1%82%D0%B2%D0%B5%D0%BD%D0%BD%D0%BE%D0%B9_%D0%B2%D0%BE%D0%B9%D0%BD%D1%8B_(%D0%B8%D1%8E%D0%BB%D1%8C_1941_%D0%B3%D0%BE%D0%B4%D0%B0)#11_.D0.B8.D1.8E.D0.BB.D1.8F_1941_.D0.B3.D0.BE.D0.B4.D0.B0._20-.D0.B9_.D0.B4.D0.B5.D0.BD.D1.8C_.D0.B2.D0.BE.D0.B9.D0.BD.D1.8B
1941-07-12,,,,,"Brest Province, BLR",Kamikaze Soviets,"A Brest Frotress defender with 2 grenades throws himself from tower on a group of bomb-technicians. 4 killed on the spot, 2 die later in the hospital.",,http://www.aif.ru/society/history/ya_umirayu_no_ne_sdayus_kogda_pogib_posledniy_zashchitnik_brestskoy_kreposti
1941-07-12,,,,,,"Moscow, РСФСР. USSR and GBR sign an agreement",on joint actions in the war against Germany,,https://ru.wikipedia.org/wiki/%D0%A5%D1%80%D0%BE%D0%BD%D0%B8%D0%BA%D0%B0_%D0%92%D0%B5%D0%BB%D0%B8%D0%BA%D0%BE%D0%B9_%D0%9E%D1%82%D0%B5%D1%87%D0%B5%D1%81%D1%82%D0%B2%D0%B5%D0%BD%D0%BD%D0%BE%D0%B9_%D0%B2%D0%BE%D0%B9%D0%BD%D1%8B_(%D0%B8%D1%8E%D0%BB%D1%8C_1941_%D0%B3%D0%BE%D0%B4%D0%B0)#12_.D0.B8.D1.8E.D0.BB.D1.8F_1941_.D0.B3.D0.BE.D0.B4.D0.B0._21-.D0.B9_.D0.B4.D0.B5.D0.BD.D1.8C_.D0.B2.D0.BE.D0.B9.D0.BD.D1.8B
1941-07-12,,,,,,,"Vitebsk Province, BLR: our Western Front launches an offensive to liberate Vitebsk.",,https://ru.wikipedia.org/wiki/%D0%A5%D1%80%D0%BE%D0%BD%D0%B8%D0%BA%D0%B0_%D0%92%D0%B5%D0%BB%D0%B8%D0%BA%D0%BE%D0%B9_%D0%9E%D1%82%D0%B5%D1%87%D0%B5%D1%81%D1%82%D0%B2%D0%B5%D0%BD%D0%BD%D0%BE%D0%B9_%D0%B2%D0%BE%D0%B9%D0%BD%D1%8B_(%D0%B8%D1%8E%D0%BB%D1%8C_1941_%D0%B3%D0%BE%D0%B4%D0%B0)#12_.D0.B8.D1.8E.D0.BB.D1.8F_1941_.D0.B3.D0.BE.D0.B4.D0.B0._21-.D0.B9_.D0.B4.D0.B5.D0.BD.D1.8C_.D0.B2.D0.BE.D0.B9.D0.BD.D1.8B
1941-07-12,,,,,,,"Vitebsk Province, BLR: We are attacking DEU from North and East. DEU crash into our defense south of Polotsk and rush toward Nevel (Pskov Province, РСФСР).",,https://ru.wikipedia.org/wiki/%D0%A5%D1%80%D0%BE%D0%BD%D0%B8%D0%BA%D0%B0_%D0%92%D0%B5%D0%BB%D0%B8%D0%BA%D0%BE%D0%B9_%D0%9E%D1%82%D0%B5%D1%87%D0%B5%D1%81%D1%82%D0%B2%D0%B5%D0%BD%D0%BD%D0%BE%D0%B9_%D0%B2%D0%BE%D0%B9%D0%BD%D1%8B_(%D0%B8%D1%8E%D0%BB%D1%8C_1941_%D0%B3%D0%BE%D0%B4%D0%B0)#12_.D0.B8.D1.8E.D0.BB.D1.8F_1941_.D0.B3.D0.BE.D0.B4.D0.B0._21-.D0.B9_.D0.B4.D0.B5.D0.BD.D1.8C_.D0.B2.D0.BE.D0.B9.D0.BD.D1.8B
1941-07-12,,,,,,,"BLR, Smolensk and Mogilev Provinces: DEU advance, surrounding our Army 13.",,https://ru.wikipedia.org/wiki/%D0%A5%D1%80%D0%BE%D0%BD%D0%B8%D0%BA%D0%B0_%D0%92%D0%B5%D0%BB%D0%B8%D0%BA%D0%BE%D0%B9_%D0%9E%D1%82%D0%B5%D1%87%D0%B5%D1%81%D1%82%D0%B2%D0%B5%D0%BD%D0%BD%D0%BE%D0%B9_%D0%B2%D0%BE%D0%B9%D0%BD%D1%8B_(%D0%B8%D1%8E%D0%BB%D1%8C_1941_%D0%B3%D0%BE%D0%B4%D0%B0)#12_.D0.B8.D1.8E.D0.BB.D1.8F_1941_.D0.B3.D0.BE.D0.B4.D0.B0._21-.D0.B9_.D0.B4.D0.B5.D0.BD.D1.8C_.D0.B2.D0.BE.D0.B9.D0.BD.D1.8B
1941-07-12,,,,,,,"UKR, Zhitomir Province: we are attacking DEU from South-East, South, South-West.",,https://ru.wikipedia.org/wiki/%D0%A5%D1%80%D0%BE%D0%BD%D0%B8%D0%BA%D0%B0_%D0%92%D0%B5%D0%BB%D0%B8%D0%BA%D0%BE%D0%B9_%D0%9E%D1%82%D0%B5%D1%87%D0%B5%D1%81%D1%82%D0%B2%D0%B5%D0%BD%D0%BD%D0%BE%D0%B9_%D0%B2%D0%BE%D0%B9%D0%BD%D1%8B_(%D0%B8%D1%8E%D0%BB%D1%8C_1941_%D0%B3%D0%BE%D0%B4%D0%B0)#12_.D0.B8.D1.8E.D0.BB.D1.8F_1941_.D0.B3.D0.BE.D0.B4.D0.B0._21-.D0.B9_.D0.B4.D0.B5.D0.BD.D1.8C_.D0.B2.D0.BE.D0.B9.D0.BD.D1.8B
1941-07-12,,,,,,,"UKR, Kiev Province: DEU are advancing toward Belaya Tserkov, surrounding Kiev from south",,https://ru.wikipedia.org/wiki/%D0%A5%D1%80%D0%BE%D0%BD%D0%B8%D0%BA%D0%B0_%D0%92%D0%B5%D0%BB%D0%B8%D0%BA%D0%BE%D0%B9_%D0%9E%D1%82%D0%B5%D1%87%D0%B5%D1%81%D1%82%D0%B2%D0%B5%D0%BD%D0%BD%D0%BE%D0%B9_%D0%B2%D0%BE%D0%B9%D0%BD%D1%8B_(%D0%B8%D1%8E%D0%BB%D1%8C_1941_%D0%B3%D0%BE%D0%B4%D0%B0)#12_.D0.B8.D1.8E.D0.BB.D1.8F_1941_.D0.B3.D0.BE.D0.B4.D0.B0._21-.D0.B9_.D0.B4.D0.B5.D0.BD.D1.8C_.D0.B2.D0.BE.D0.B9.D0.BD.D1.8B
1941-07-12,,,,,,,MDA: Our Southern Front retreats beyond Dniester river.,,https://ru.wikipedia.org/wiki/%D0%A5%D1%80%D0%BE%D0%BD%D0%B8%D0%BA%D0%B0_%D0%92%D0%B5%D0%BB%D0%B8%D0%BA%D0%BE%D0%B9_%D0%9E%D1%82%D0%B5%D1%87%D0%B5%D1%81%D1%82%D0%B2%D0%B5%D0%BD%D0%BD%D0%BE%D0%B9_%D0%B2%D0%BE%D0%B9%D0%BD%D1%8B_(%D0%B8%D1%8E%D0%BB%D1%8C_1941_%D0%B3%D0%BE%D0%B4%D0%B0)#12_.D0.B8.D1.8E.D0.BB.D1.8F_1941_.D0.B3.D0.BE.D0.B4.D0.B0._21-.D0.B9_.D0.B4.D0.B5.D0.BD.D1.8C_.D0.B2.D0.BE.D0.B9.D0.BD.D1.8B
1941-07-13,,,,,,Подвиг Овчаренко,"""Мужик с топором"", победил 3 офицеров и 47 солдат в одиночку.",,"https://ru.wikipedia.org/wiki/%D0%9E%D0%B2%D1%87%D0%B0%D1%80%D0%B5%D0%BD%D0%BA%D0%BE,_%D0%94%D0%BC%D0%B8%D1%82%D1%80%D0%B8%D0%B9_%D0%A0%D0%BE%D0%BC%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87"
1941-07-13,,,,,"Bălţi, MDA",Dmitry Ovcharenko's exploits,"In UKR, while on an errand, he runs into 50 Germans. Result: 2 officers beheaded with an axe, 21 soldiers killed by 3 grenades, the rest fled in panic.",,"https://ru.wikipedia.org/wiki/%D0%9E%D0%B2%D1%87%D0%B0%D1%80%D0%B5%D0%BD%D0%BA%D0%BE,_%D0%94%D0%BC%D0%B8%D1%82%D1%80%D0%B8%D0%B9_%D0%A0%D0%BE%D0%BC%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87"
1941-07-13,,,,,"Szczecin, POL",Гиммлер призвал истреблять русских как недочеловеков.,"Когда вы, друзья мои, сражаетесь на Востоке, вы продолжаете ту же борьбу против того же недочеловечества, против тех же низших рас, которые когда-то выступали под именем гуннов, позднее — 1000 лет назад во времена королей Генриха и Оттона I, — под именем венгров, а впоследствии под именем татар; затем они явились снова под именем Чингисхана и монголов. Сегодня они называются русскими под политическим знаменем большевизма.",,https://ru.wikipedia.org/wiki/%D0%9D%D0%B0%D1%86%D0%B8%D1%81%D1%82%D1%81%D0%BA%D0%B0%D1%8F_%D1%80%D0%B0%D1%81%D0%BE%D0%B2%D0%B0%D1%8F_%D0%BF%D0%BE%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%D0%B0
1941-07-13,,,,,,,"РСФСР, Smolensk Province: Armour group 3 advancing toward Smolensk from North-West reach Demidov, Velish. ",,https://ru.wikipedia.org/wiki/%D0%A5%D1%80%D0%BE%D0%BD%D0%B8%D0%BA%D0%B0_%D0%92%D0%B5%D0%BB%D0%B8%D0%BA%D0%BE%D0%B9_%D0%9E%D1%82%D0%B5%D1%87%D0%B5%D1%81%D1%82%D0%B2%D0%B5%D0%BD%D0%BD%D0%BE%D0%B9_%D0%B2%D0%BE%D0%B9%D0%BD%D1%8B_(%D0%B8%D1%8E%D0%BB%D1%8C_1941_%D0%B3%D0%BE%D0%B4%D0%B0)#13_.D0.B8.D1.8E.D0.BB.D1.8F_1941_.D0.B3.D0.BE.D0.B4.D0.B0._22-.D0.B9_.D0.B4.D0.B5.D0.BD.D1.8C_.D0.B2.D0.BE.D0.B9.D0.BD.D1.8B
1941-07-13,,,,,,,"BLR, Mogilyov Province: Western Front's army 21 (F.I.Kuznetsov) launches an offensive with the mission of taking Bykhov and Bobruysk and come to the enemy rear in the Mogilyov-Smolensk direction. DEU armor division 3 attack our infantry division 172 defending Mogilyov, but after a 10-hour battle it was stopped. Motorized corps 24's armor division 4 repel all our attacks near Stary Bykhov, break through in the direction of Krichev. ",,https://ru.wikipedia.org/wiki/%D0%A5%D1%80%D0%BE%D0%BD%D0%B8%D0%BA%D0%B0_%D0%92%D0%B5%D0%BB%D0%B8%D0%BA%D0%BE%D0%B9_%D0%9E%D1%82%D0%B5%D1%87%D0%B5%D1%81%D1%82%D0%B2%D0%B5%D0%BD%D0%BD%D0%BE%D0%B9_%D0%B2%D0%BE%D0%B9%D0%BD%D1%8B_(%D0%B8%D1%8E%D0%BB%D1%8C_1941_%D0%B3%D0%BE%D0%B4%D0%B0)#13_.D0.B8.D1.8E.D0.BB.D1.8F_1941_.D0.B3.D0.BE.D0.B4.D0.B0._22-.D0.B9_.D0.B4.D0.B5.D0.BD.D1.8C_.D0.B2.D0.BE.D0.B9.D0.BD.D1.8B
1941-07-13,,,,,,,"Rifle corps 63 (Petrovsky) cross Dnieper and come to the western outskirts of Rogachev and Zhlobin, throwing the germans 20-30 km away. To south: Corps 66' division 232 moved forward 80 km and ceize bank sides on rivers Berezina and Ptich. ",,https://ru.wikipedia.org/wiki/%D0%A5%D1%80%D0%BE%D0%BD%D0%B8%D0%BA%D0%B0_%D0%92%D0%B5%D0%BB%D0%B8%D0%BA%D0%BE%D0%B9_%D0%9E%D1%82%D0%B5%D1%87%D0%B5%D1%81%D1%82%D0%B2%D0%B5%D0%BD%D0%BD%D0%BE%D0%B9_%D0%B2%D0%BE%D0%B9%D0%BD%D1%8B_(%D0%B8%D1%8E%D0%BB%D1%8C_1941_%D0%B3%D0%BE%D0%B4%D0%B0)#13_.D0.B8.D1.8E.D0.BB.D1.8F_1941_.D0.B3.D0.BE.D0.B4.D0.B0._22-.D0.B9_.D0.B4.D0.B5.D0.BD.D1.8C_.D0.B2.D0.BE.D0.B9.D0.BD.D1.8B
1941-07-13,,,,,,,"UKR, Zhitomir Province: DEU army 6 and armor group 1 are repelling our attacks near Berdichev. ",,https://ru.wikipedia.org/wiki/%D0%A5%D1%80%D0%BE%D0%BD%D0%B8%D0%BA%D0%B0_%D0%92%D0%B5%D0%BB%D0%B8%D0%BA%D0%BE%D0%B9_%D0%9E%D1%82%D0%B5%D1%87%D0%B5%D1%81%D1%82%D0%B2%D0%B5%D0%BD%D0%BD%D0%BE%D0%B9_%D0%B2%D0%BE%D0%B9%D0%BD%D1%8B_(%D0%B8%D1%8E%D0%BB%D1%8C_1941_%D0%B3%D0%BE%D0%B4%D0%B0)#13_.D0.B8.D1.8E.D0.BB.D1.8F_1941_.D0.B3.D0.BE.D0.B4.D0.B0._22-.D0.B9_.D0.B4.D0.B5.D0.BD.D1.8C_.D0.B2.D0.BE.D0.B9.D0.BD.D1.8B
1941-07-13,,,,,,,"UKR, Kiev Province: DEU Armor group 1's armor divisions 13 and 14 reach regions west of and south of Kiev.",,https://ru.wikipedia.org/wiki/%D0%A5%D1%80%D0%BE%D0%BD%D0%B8%D0%BA%D0%B0_%D0%92%D0%B5%D0%BB%D0%B8%D0%BA%D0%BE%D0%B9_%D0%9E%D1%82%D0%B5%D1%87%D0%B5%D1%81%D1%82%D0%B2%D0%B5%D0%BD%D0%BD%D0%BE%D0%B9_%D0%B2%D0%BE%D0%B9%D0%BD%D1%8B_(%D0%B8%D1%8E%D0%BB%D1%8C_1941_%D0%B3%D0%BE%D0%B4%D0%B0)#13_.D0.B8.D1.8E.D0.BB.D1.8F_1941_.D0.B3.D0.BE.D0.B4.D0.B0._22-.D0.B9_.D0.B4.D0.B5.D0.BD.D1.8C_.D0.B2.D0.BE.D0.B9.D0.BD.D1.8B
1941-07-13,,,,,,DEU chief of general staff of army Franz Halder,"The losses of the DEU army are 3.68% (92,120), daily average: 4,187.",,https://ru.wikipedia.org/wiki/%D0%A5%D1%80%D0%BE%D0%BD%D0%B8%D0%BA%D0%B0_%D0%92%D0%B5%D0%BB%D0%B8%D0%BA%D0%BE%D0%B9_%D0%9E%D1%82%D0%B5%D1%87%D0%B5%D1%81%D1%82%D0%B2%D0%B5%D0%BD%D0%BD%D0%BE%D0%B9_%D0%B2%D0%BE%D0%B9%D0%BD%D1%8B_(%D0%B8%D1%8E%D0%BB%D1%8C_1941_%D0%B3%D0%BE%D0%B4%D0%B0)#13_.D0.B8.D1.8E.D0.BB.D1.8F_1941_.D0.B3.D0.BE.D0.B4.D0.B0._22-.D0.B9_.D0.B4.D0.B5.D0.BD.D1.8C_.D0.B2.D0.BE.D0.B9.D0.BD.D1.8B
1941-07-13,,,,,,,,,https://ru.wikipedia.org/wiki/%D0%A5%D1%80%D0%BE%D0%BD%D0%B8%D0%BA%D0%B0_%D0%92%D0%B5%D0%BB%D0%B8%D0%BA%D0%BE%D0%B9_%D0%9E%D1%82%D0%B5%D1%87%D0%B5%D1%81%D1%82%D0%B2%D0%B5%D0%BD%D0%BD%D0%BE%D0%B9_%D0%B2%D0%BE%D0%B9%D0%BD%D1%8B_(%D0%B8%D1%8E%D0%BB%D1%8C_1941_%D0%B3%D0%BE%D0%B4%D0%B0)#13_.D0.B8.D1.8E.D0.BB.D1.8F_1941_.D0.B3.D0.BE.D0.B4.D0.B0._22-.D0.B9_.D0.B4.D0.B5.D0.BD.D1.8C_.D0.B2.D0.BE.D0.B9.D0.BD.D1.8B
1941-07-13,,,,,,,"BLR, Vitebsk Province: DEU armor group 3 breaks through to the Smolensk highway and take Rudnya.",,https://ru.wikipedia.org/wiki/%D0%A5%D1%80%D0%BE%D0%BD%D0%B8%D0%BA%D0%B0_%D0%92%D0%B5%D0%BB%D0%B8%D0%BA%D0%BE%D0%B9_%D0%9E%D1%82%D0%B5%D1%87%D0%B5%D1%81%D1%82%D0%B2%D0%B5%D0%BD%D0%BD%D0%BE%D0%B9_%D0%B2%D0%BE%D0%B9%D0%BD%D1%8B_(%D0%B8%D1%8E%D0%BB%D1%8C_1941_%D0%B3%D0%BE%D0%B4%D0%B0)#23_.D0.B8.D1.8E.D0.BB.D1.8F_1941_.D0.B3.D0.BE.D0.B4.D0.B0._32-.D0.B9_.D0.B4.D0.B5.D0.BD.D1.8C_.D0.B2.D0.BE.D0.B9.D0.BD.D1.8B
1941-07-14,1942-09-19,,,,,Mass murder of Jews in the Nazi-occupied Zhitomir,by shooting,,http://alfred-griber.com/proizvedeniya/povest-istoki-i-korni/zhitomir-v-ogne-vojny
1941-07-14,,,,,,"РСФСР, Murmansk Province",На побережье губы Большая Западная Лица кораблями Северного флота высажен морской десант.,,https://ru.wikipedia.org/wiki/%D0%A5%D1%80%D0%BE%D0%BD%D0%B8%D0%BA%D0%B0_%D0%92%D0%B5%D0%BB%D0%B8%D0%BA%D0%BE%D0%B9_%D0%9E%D1%82%D0%B5%D1%87%D0%B5%D1%81%D1%82%D0%B2%D0%B5%D0%BD%D0%BD%D0%BE%D0%B9_%D0%B2%D0%BE%D0%B9%D0%BD%D1%8B_(%D0%B8%D1%8E%D0%BB%D1%8C_1941_%D0%B3%D0%BE%D0%B4%D0%B0)#14_.D0.B8.D1.8E.D0.BB.D1.8F_1941_.D0.B3.D0.BE.D0.B4.D0.B0._23-.D0.B9_.D0.B4.D0.B5.D0.BD.D1.8C_.D0.B2.D0.BE.D0.B9.D0.BD.D1.8B
1941-07-14,,,,,,"РСФСР, Leningrad Province","41-й мотокорпус 4-й танковой группы вышел к реке Луга в 20—35 километрах восточнее города Кингисеппа, захватил переправы у Ивановского и Большого Сабска. 56-й мотокорпус наступал на Новгород и вышел передовыми частями в район западнее Шимска. 11-я армия нанесла двусторонний контрудар из районов Уторгош и Дно на Ситню — Сольцы и окружила противника.",,https://ru.wikipedia.org/wiki/%D0%A5%D1%80%D0%BE%D0%BD%D0%B8%D0%BA%D0%B0_%D0%92%D0%B5%D0%BB%D0%B8%D0%BA%D0%BE%D0%B9_%D0%9E%D1%82%D0%B5%D1%87%D0%B5%D1%81%D1%82%D0%B2%D0%B5%D0%BD%D0%BD%D0%BE%D0%B9_%D0%B2%D0%BE%D0%B9%D0%BD%D1%8B_(%D0%B8%D1%8E%D0%BB%D1%8C_1941_%D0%B3%D0%BE%D0%B4%D0%B0)#14_.D0.B8.D1.8E.D0.BB.D1.8F_1941_.D0.B3.D0.BE.D0.B4.D0.B0._23-.D0.B9_.D0.B4.D0.B5.D0.BD.D1.8C_.D0.B2.D0.BE.D0.B9.D0.BD.D1.8B
1941-07-14,,,,,,"РСФСР, Smolensk Province",2-я танковая группа подошла к Смоленску с юга.,,https://ru.wikipedia.org/wiki/%D0%A5%D1%80%D0%BE%D0%BD%D0%B8%D0%BA%D0%B0_%D0%92%D0%B5%D0%BB%D0%B8%D0%BA%D0%BE%D0%B9_%D0%9E%D1%82%D0%B5%D1%87%D0%B5%D1%81%D1%82%D0%B2%D0%B5%D0%BD%D0%BD%D0%BE%D0%B9_%D0%B2%D0%BE%D0%B9%D0%BD%D1%8B_(%D0%B8%D1%8E%D0%BB%D1%8C_1941_%D0%B3%D0%BE%D0%B4%D0%B0)#14_.D0.B8.D1.8E.D0.BB.D1.8F_1941_.D0.B3.D0.BE.D0.B4.D0.B0._23-.D0.B9_.D0.B4.D0.B5.D0.BD.D1.8C_.D0.B2.D0.BE.D0.B9.D0.BD.D1.8B
